Using device: cuda
Start training with 22849352 number of parameters
Iteration 70: Allocated: 958.14 MB, Reserved: 11626.00 MB
Iteration 71: Allocated: 931.18 MB, Reserved: 11626.00 MB
Iteration 72: Allocated: 823.65 MB, Reserved: 11626.00 MB
Iteration 73: Allocated: 858.56 MB, Reserved: 11626.00 MB
Iteration 74: Allocated: 930.44 MB, Reserved: 11628.00 MB
Iteration 75: Allocated: 907.55 MB, Reserved: 11628.00 MB
Iteration 76: Allocated: 871.46 MB, Reserved: 11628.00 MB
Iteration 77: Allocated: 936.33 MB, Reserved: 11628.00 MB
Iteration 78: Allocated: 930.30 MB, Reserved: 11628.00 MB
Iteration 79: Allocated: 864.26 MB, Reserved: 11628.00 MB
Iteration 80: Allocated: 834.55 MB, Reserved: 11628.00 MB
Iteration 81: Allocated: 948.22 MB, Reserved: 11628.00 MB
Iteration 82: Allocated: 849.42 MB, Reserved: 11628.00 MB
Iteration 83: Allocated: 865.26 MB, Reserved: 11628.00 MB
Iteration 84: Allocated: 860.19 MB, Reserved: 11628.00 MB
Iteration 85: Allocated: 857.21 MB, Reserved: 11628.00 MB
Iteration 86: Allocated: 907.76 MB, Reserved: 11628.00 MB
Iteration 87: Allocated: 922.71 MB, Reserved: 11628.00 MB
Iteration 88: Allocated: 879.35 MB, Reserved: 11628.00 MB
Iteration 89: Allocated: 898.42 MB, Reserved: 11628.00 MB
Iteration 90: Allocated: 865.92 MB, Reserved: 11628.00 MB
Iteration 91: Allocated: 944.90 MB, Reserved: 11628.00 MB
Iteration 92: Allocated: 870.79 MB, Reserved: 11628.00 MB
Iteration 93: Allocated: 903.11 MB, Reserved: 11628.00 MB
Iteration 94: Allocated: 920.66 MB, Reserved: 11628.00 MB
Iteration 95: Allocated: 868.37 MB, Reserved: 11628.00 MB
Iteration 96: Allocated: 879.02 MB, Reserved: 11628.00 MB
Iteration 97: Allocated: 924.23 MB, Reserved: 11628.00 MB
Iteration 98: Allocated: 963.84 MB, Reserved: 11628.00 MB
Iteration 99: Allocated: 936.66 MB, Reserved: 11628.00 MB
Iteration 100: Allocated: 926.26 MB, Reserved: 11628.00 MB
Iteration 101: Allocated: 912.29 MB, Reserved: 11628.00 MB
Iteration 102: Allocated: 916.19 MB, Reserved: 11628.00 MB
Iteration 103: Allocated: 920.30 MB, Reserved: 11628.00 MB
Iteration 104: Allocated: 896.41 MB, Reserved: 11628.00 MB
Iteration 105: Allocated: 928.55 MB, Reserved: 11628.00 MB
Iteration 106: Allocated: 868.45 MB, Reserved: 11628.00 MB
Iteration 107: Allocated: 915.28 MB, Reserved: 11628.00 MB
Iteration 108: Allocated: 940.83 MB, Reserved: 11628.00 MB
Iteration 109: Allocated: 936.23 MB, Reserved: 11628.00 MB
Iteration 110: Allocated: 947.35 MB, Reserved: 11628.00 MB
Iteration 111: Allocated: 944.94 MB, Reserved: 11628.00 MB
Iteration 112: Allocated: 911.44 MB, Reserved: 11628.00 MB
Iteration 113: Allocated: 908.28 MB, Reserved: 11628.00 MB
Iteration 114: Allocated: 843.39 MB, Reserved: 11628.00 MB
Iteration 115: Allocated: 840.02 MB, Reserved: 11628.00 MB
Iteration 116: Allocated: 879.97 MB, Reserved: 11628.00 MB
Iteration 117: Allocated: 911.25 MB, Reserved: 11628.00 MB
Iteration 118: Allocated: 914.33 MB, Reserved: 11628.00 MB
Iteration 119: Allocated: 896.48 MB, Reserved: 11628.00 MB
Iteration 120: Allocated: 905.95 MB, Reserved: 11628.00 MB
Iteration 121: Allocated: 850.03 MB, Reserved: 11628.00 MB
Iteration 122: Allocated: 795.37 MB, Reserved: 11628.00 MB
Iteration 123: Allocated: 913.22 MB, Reserved: 11628.00 MB
Iteration 124: Allocated: 935.84 MB, Reserved: 11628.00 MB
Iteration 125: Allocated: 893.76 MB, Reserved: 11628.00 MB
Iteration 126: Allocated: 941.63 MB, Reserved: 11628.00 MB
