Using device: cuda
Start training with 21576776 number of parameters
Iteration 40: Allocated: 807.98 MB, Reserved: 10506.00 MB
Iteration 41: Allocated: 773.89 MB, Reserved: 10506.00 MB
Iteration 42: Allocated: 802.22 MB, Reserved: 10506.00 MB
Iteration 43: Allocated: 829.28 MB, Reserved: 10506.00 MB
Iteration 44: Allocated: 828.07 MB, Reserved: 10506.00 MB
Iteration 45: Allocated: 805.39 MB, Reserved: 10506.00 MB
Iteration 46: Allocated: 828.24 MB, Reserved: 10506.00 MB
Iteration 47: Allocated: 819.15 MB, Reserved: 10506.00 MB
Iteration 48: Allocated: 773.90 MB, Reserved: 10506.00 MB
Iteration 49: Allocated: 765.95 MB, Reserved: 10506.00 MB
Iteration 50: Allocated: 762.18 MB, Reserved: 10506.00 MB
Iteration 51: Allocated: 811.79 MB, Reserved: 10506.00 MB
Iteration 52: Allocated: 772.23 MB, Reserved: 10506.00 MB
Iteration 53: Allocated: 790.86 MB, Reserved: 10506.00 MB
Iteration 54: Allocated: 837.92 MB, Reserved: 10506.00 MB
Iteration 55: Allocated: 824.82 MB, Reserved: 10506.00 MB
Iteration 56: Allocated: 806.74 MB, Reserved: 10506.00 MB
Iteration 57: Allocated: 676.48 MB, Reserved: 10506.00 MB
Iteration 58: Allocated: 770.74 MB, Reserved: 10506.00 MB
Iteration 59: Allocated: 684.67 MB, Reserved: 10506.00 MB
Iteration 60: Allocated: 757.63 MB, Reserved: 10506.00 MB
Iteration 61: Allocated: 815.32 MB, Reserved: 10506.00 MB
Iteration 62: Allocated: 672.85 MB, Reserved: 10506.00 MB
Iteration 63: Allocated: 765.99 MB, Reserved: 10506.00 MB
Iteration 64: Allocated: 831.49 MB, Reserved: 10506.00 MB
Iteration 65: Allocated: 802.75 MB, Reserved: 10506.00 MB
Iteration 66: Allocated: 721.07 MB, Reserved: 10566.00 MB
Iteration 67: Allocated: 757.02 MB, Reserved: 10566.00 MB
Iteration 68: Allocated: 795.54 MB, Reserved: 10566.00 MB
Iteration 69: Allocated: 768.91 MB, Reserved: 10566.00 MB
Iteration 70: Allocated: 831.68 MB, Reserved: 10566.00 MB
Iteration 71: Allocated: 818.30 MB, Reserved: 10566.00 MB
Iteration 72: Allocated: 759.26 MB, Reserved: 10566.00 MB
Iteration 73: Allocated: 757.01 MB, Reserved: 10566.00 MB
Iteration 74: Allocated: 752.39 MB, Reserved: 10566.00 MB
Iteration 75: Allocated: 827.41 MB, Reserved: 10566.00 MB
Iteration 76: Allocated: 769.87 MB, Reserved: 10566.00 MB
Iteration 77: Allocated: 803.42 MB, Reserved: 10566.00 MB
Iteration 78: Allocated: 804.65 MB, Reserved: 10566.00 MB
Iteration 79: Allocated: 780.51 MB, Reserved: 10566.00 MB
Iteration 80: Allocated: 718.68 MB, Reserved: 10566.00 MB
Iteration 81: Allocated: 810.11 MB, Reserved: 10566.00 MB
Iteration 82: Allocated: 814.28 MB, Reserved: 10566.00 MB
Iteration 83: Allocated: 778.43 MB, Reserved: 10566.00 MB
Iteration 84: Allocated: 792.55 MB, Reserved: 10566.00 MB
Iteration 85: Allocated: 830.98 MB, Reserved: 10566.00 MB
Iteration 86: Allocated: 778.61 MB, Reserved: 10566.00 MB
Iteration 87: Allocated: 812.28 MB, Reserved: 10566.00 MB
Iteration 88: Allocated: 765.50 MB, Reserved: 10566.00 MB
Iteration 89: Allocated: 789.88 MB, Reserved: 10566.00 MB
Iteration 90: Allocated: 796.99 MB, Reserved: 10566.00 MB
Iteration 91: Allocated: 817.47 MB, Reserved: 10566.00 MB
Iteration 92: Allocated: 800.87 MB, Reserved: 10566.00 MB
Iteration 93: Allocated: 810.83 MB, Reserved: 10566.00 MB
Iteration 94: Allocated: 752.56 MB, Reserved: 10566.00 MB
Iteration 95: Allocated: 757.95 MB, Reserved: 10566.00 MB
Iteration 96: Allocated: 807.76 MB, Reserved: 10566.00 MB
Iteration 97: Allocated: 815.72 MB, Reserved: 10566.00 MB
Iteration 98: Allocated: 792.18 MB, Reserved: 10566.00 MB
Iteration 99: Allocated: 795.92 MB, Reserved: 10566.00 MB
Iteration 100: Allocated: 797.00 MB, Reserved: 10566.00 MB
Iteration 101: Allocated: 818.41 MB, Reserved: 10566.00 MB
Iteration 102: Allocated: 762.20 MB, Reserved: 10566.00 MB
Iteration 103: Allocated: 781.37 MB, Reserved: 10566.00 MB
Iteration 104: Allocated: 812.91 MB, Reserved: 10566.00 MB
Iteration 105: Allocated: 804.65 MB, Reserved: 10566.00 MB
Iteration 106: Allocated: 809.49 MB, Reserved: 10566.00 MB
Iteration 107: Allocated: 768.70 MB, Reserved: 10566.00 MB
Iteration 108: Allocated: 811.87 MB, Reserved: 10566.00 MB
Iteration 109: Allocated: 760.78 MB, Reserved: 10566.00 MB
Iteration 110: Allocated: 827.49 MB, Reserved: 10566.00 MB
Iteration 111: Allocated: 806.36 MB, Reserved: 10566.00 MB
Iteration 112: Allocated: 775.12 MB, Reserved: 10566.00 MB
Iteration 113: Allocated: 830.22 MB, Reserved: 10566.00 MB
Iteration 114: Allocated: 759.51 MB, Reserved: 10566.00 MB
Iteration 115: Allocated: 784.58 MB, Reserved: 10566.00 MB
Iteration 116: Allocated: 779.12 MB, Reserved: 10766.00 MB
Iteration 117: Allocated: 769.58 MB, Reserved: 10766.00 MB
Iteration 118: Allocated: 789.98 MB, Reserved: 10766.00 MB
Iteration 119: Allocated: 771.14 MB, Reserved: 10766.00 MB
Iteration 120: Allocated: 793.29 MB, Reserved: 10766.00 MB
Iteration 121: Allocated: 758.30 MB, Reserved: 10766.00 MB
Iteration 122: Allocated: 815.52 MB, Reserved: 10766.00 MB
Iteration 123: Allocated: 786.12 MB, Reserved: 10766.00 MB
Iteration 124: Allocated: 831.36 MB, Reserved: 10766.00 MB
Iteration 125: Allocated: 804.90 MB, Reserved: 10766.00 MB
Iteration 126: Allocated: 784.74 MB, Reserved: 10766.00 MB
Iteration 127: Allocated: 828.18 MB, Reserved: 10766.00 MB
Iteration 128: Allocated: 833.04 MB, Reserved: 10766.00 MB
Iteration 129: Allocated: 815.69 MB, Reserved: 10766.00 MB
Iteration 130: Allocated: 770.37 MB, Reserved: 10766.00 MB
Iteration 131: Allocated: 807.85 MB, Reserved: 10766.00 MB
Iteration 132: Allocated: 821.26 MB, Reserved: 10766.00 MB
Iteration 133: Allocated: 780.28 MB, Reserved: 10766.00 MB
Iteration 134: Allocated: 821.78 MB, Reserved: 10766.00 MB
Iteration 135: Allocated: 799.50 MB, Reserved: 10766.00 MB
Iteration 136: Allocated: 825.63 MB, Reserved: 10766.00 MB
Iteration 137: Allocated: 791.40 MB, Reserved: 10766.00 MB
Iteration 138: Allocated: 804.24 MB, Reserved: 10766.00 MB
Iteration 139: Allocated: 823.86 MB, Reserved: 10766.00 MB
