Using device: cuda
Start training with 22849352 number of parameters
Iteration 189: Allocated: 559.74 MB, Reserved: 11406.00 MB
Iteration 190: Allocated: 561.92 MB, Reserved: 11406.00 MB
Iteration 191: Allocated: 600.22 MB, Reserved: 11406.00 MB
Iteration 192: Allocated: 621.81 MB, Reserved: 11406.00 MB
Iteration 193: Allocated: 628.47 MB, Reserved: 11406.00 MB
Iteration 194: Allocated: 523.11 MB, Reserved: 11406.00 MB
Iteration 195: Allocated: 559.22 MB, Reserved: 11406.00 MB
Iteration 196: Allocated: 581.98 MB, Reserved: 11406.00 MB
Iteration 197: Allocated: 599.38 MB, Reserved: 11406.00 MB
Iteration 198: Allocated: 521.17 MB, Reserved: 11406.00 MB
Iteration 199: Allocated: 609.51 MB, Reserved: 11406.00 MB
Iteration 200: Allocated: 606.74 MB, Reserved: 11406.00 MB
Iteration 201: Allocated: 605.44 MB, Reserved: 11406.00 MB
Iteration 202: Allocated: 549.04 MB, Reserved: 11406.00 MB
Iteration 203: Allocated: 493.64 MB, Reserved: 11406.00 MB
Iteration 204: Allocated: 642.71 MB, Reserved: 11406.00 MB
Iteration 205: Allocated: 562.63 MB, Reserved: 11406.00 MB
Iteration 206: Allocated: 477.80 MB, Reserved: 11406.00 MB
Iteration 207: Allocated: 616.26 MB, Reserved: 11406.00 MB
Iteration 208: Allocated: 625.01 MB, Reserved: 11406.00 MB
Iteration 209: Allocated: 656.85 MB, Reserved: 11406.00 MB
Iteration 210: Allocated: 593.00 MB, Reserved: 11406.00 MB
Iteration 211: Allocated: 648.11 MB, Reserved: 11406.00 MB
Iteration 212: Allocated: 611.52 MB, Reserved: 11406.00 MB
Iteration 213: Allocated: 610.25 MB, Reserved: 11406.00 MB
Iteration 214: Allocated: 580.71 MB, Reserved: 11406.00 MB
Iteration 215: Allocated: 591.35 MB, Reserved: 11406.00 MB
Iteration 216: Allocated: 579.67 MB, Reserved: 11406.00 MB
Iteration 217: Allocated: 574.36 MB, Reserved: 11406.00 MB
Iteration 218: Allocated: 571.87 MB, Reserved: 11406.00 MB
Iteration 219: Allocated: 646.72 MB, Reserved: 11406.00 MB
Iteration 220: Allocated: 621.44 MB, Reserved: 11406.00 MB
Iteration 221: Allocated: 602.51 MB, Reserved: 11406.00 MB
Iteration 222: Allocated: 553.74 MB, Reserved: 11406.00 MB
Iteration 223: Allocated: 576.89 MB, Reserved: 11406.00 MB
Iteration 224: Allocated: 643.00 MB, Reserved: 11406.00 MB
Iteration 225: Allocated: 575.94 MB, Reserved: 11406.00 MB
Iteration 226: Allocated: 630.90 MB, Reserved: 11406.00 MB
Iteration 227: Allocated: 592.57 MB, Reserved: 11406.00 MB
Iteration 228: Allocated: 611.86 MB, Reserved: 11406.00 MB
Iteration 229: Allocated: 631.36 MB, Reserved: 11406.00 MB
Iteration 230: Allocated: 598.38 MB, Reserved: 11406.00 MB
Iteration 231: Allocated: 661.92 MB, Reserved: 11406.00 MB
Iteration 232: Allocated: 652.24 MB, Reserved: 11406.00 MB
Iteration 233: Allocated: 563.78 MB, Reserved: 11406.00 MB
Iteration 234: Allocated: 570.71 MB, Reserved: 11406.00 MB
Iteration 235: Allocated: 627.21 MB, Reserved: 11406.00 MB
Iteration 236: Allocated: 596.86 MB, Reserved: 11406.00 MB
Iteration 237: Allocated: 565.02 MB, Reserved: 11406.00 MB
Iteration 238: Allocated: 631.38 MB, Reserved: 11406.00 MB
Iteration 239: Allocated: 556.93 MB, Reserved: 11406.00 MB
Iteration 240: Allocated: 569.23 MB, Reserved: 11406.00 MB
Iteration 241: Allocated: 620.49 MB, Reserved: 11406.00 MB
Iteration 242: Allocated: 591.90 MB, Reserved: 11406.00 MB
Iteration 243: Allocated: 605.30 MB, Reserved: 11406.00 MB
Iteration 244: Allocated: 654.15 MB, Reserved: 11406.00 MB
Iteration 245: Allocated: 666.94 MB, Reserved: 11406.00 MB
Iteration 246: Allocated: 648.02 MB, Reserved: 11406.00 MB
Iteration 247: Allocated: 614.25 MB, Reserved: 11406.00 MB
Iteration 248: Allocated: 597.93 MB, Reserved: 11406.00 MB
Iteration 249: Allocated: 614.12 MB, Reserved: 11406.00 MB
Iteration 250: Allocated: 580.89 MB, Reserved: 11406.00 MB
Iteration 251: Allocated: 633.16 MB, Reserved: 11406.00 MB
Iteration 252: Allocated: 561.17 MB, Reserved: 11406.00 MB
Iteration 253: Allocated: 567.31 MB, Reserved: 11406.00 MB
Iteration 254: Allocated: 585.01 MB, Reserved: 11406.00 MB
Iteration 255: Allocated: 597.17 MB, Reserved: 11406.00 MB
Iteration 256: Allocated: 632.96 MB, Reserved: 11406.00 MB
Iteration 257: Allocated: 593.77 MB, Reserved: 11406.00 MB
Iteration 258: Allocated: 604.29 MB, Reserved: 11406.00 MB
Iteration 259: Allocated: 584.52 MB, Reserved: 11406.00 MB
Iteration 260: Allocated: 606.23 MB, Reserved: 11406.00 MB
Iteration 261: Allocated: 610.17 MB, Reserved: 11406.00 MB
Iteration 262: Allocated: 574.29 MB, Reserved: 11406.00 MB
Iteration 263: Allocated: 560.22 MB, Reserved: 11406.00 MB
Iteration 264: Allocated: 470.10 MB, Reserved: 11406.00 MB
Iteration 265: Allocated: 578.18 MB, Reserved: 11406.00 MB
Iteration 0: Allocated: 562.50 MB, Reserved: 1858.00 MB
Iteration 1: Allocated: 653.94 MB, Reserved: 11236.00 MB
Iteration 2: Allocated: 652.33 MB, Reserved: 11238.00 MB
Iteration 3: Allocated: 608.13 MB, Reserved: 11238.00 MB
Iteration 4: Allocated: 628.59 MB, Reserved: 11238.00 MB
Iteration 5: Allocated: 592.50 MB, Reserved: 11238.00 MB
Iteration 6: Allocated: 640.45 MB, Reserved: 11242.00 MB
Iteration 7: Allocated: 607.29 MB, Reserved: 11242.00 MB
Iteration 8: Allocated: 491.32 MB, Reserved: 11242.00 MB
Iteration 9: Allocated: 631.01 MB, Reserved: 11242.00 MB
Iteration 10: Allocated: 611.94 MB, Reserved: 11242.00 MB
Iteration 11: Allocated: 579.82 MB, Reserved: 11242.00 MB
Iteration 12: Allocated: 618.92 MB, Reserved: 11242.00 MB
Iteration 13: Allocated: 598.32 MB, Reserved: 11242.00 MB
Iteration 14: Allocated: 635.92 MB, Reserved: 11242.00 MB
Iteration 15: Allocated: 618.80 MB, Reserved: 11242.00 MB
Iteration 16: Allocated: 573.50 MB, Reserved: 11242.00 MB
Iteration 17: Allocated: 637.58 MB, Reserved: 11242.00 MB
Iteration 18: Allocated: 639.56 MB, Reserved: 11242.00 MB
Iteration 19: Allocated: 591.92 MB, Reserved: 11242.00 MB
Iteration 20: Allocated: 567.43 MB, Reserved: 11242.00 MB
Iteration 21: Allocated: 612.96 MB, Reserved: 11242.00 MB
Iteration 22: Allocated: 597.14 MB, Reserved: 11242.00 MB
Iteration 23: Allocated: 634.38 MB, Reserved: 11242.00 MB
Iteration 24: Allocated: 632.98 MB, Reserved: 11242.00 MB
Iteration 25: Allocated: 549.55 MB, Reserved: 11242.00 MB
Iteration 26: Allocated: 564.47 MB, Reserved: 11242.00 MB
Iteration 27: Allocated: 580.88 MB, Reserved: 11242.00 MB
Iteration 28: Allocated: 612.38 MB, Reserved: 11242.00 MB
Iteration 29: Allocated: 641.32 MB, Reserved: 11242.00 MB
Iteration 30: Allocated: 627.88 MB, Reserved: 11242.00 MB
Iteration 31: Allocated: 658.22 MB, Reserved: 11242.00 MB
Iteration 32: Allocated: 613.08 MB, Reserved: 11242.00 MB
Iteration 33: Allocated: 616.05 MB, Reserved: 11242.00 MB
Iteration 34: Allocated: 517.86 MB, Reserved: 11242.00 MB
Iteration 35: Allocated: 614.22 MB, Reserved: 11242.00 MB
Iteration 36: Allocated: 576.59 MB, Reserved: 11242.00 MB
Iteration 37: Allocated: 660.41 MB, Reserved: 11242.00 MB
Iteration 38: Allocated: 615.34 MB, Reserved: 11242.00 MB
Iteration 39: Allocated: 628.74 MB, Reserved: 11242.00 MB
Iteration 40: Allocated: 645.68 MB, Reserved: 11242.00 MB
Iteration 41: Allocated: 668.46 MB, Reserved: 11242.00 MB
Iteration 42: Allocated: 640.10 MB, Reserved: 11242.00 MB
Iteration 43: Allocated: 629.42 MB, Reserved: 11242.00 MB
Iteration 44: Allocated: 588.04 MB, Reserved: 11242.00 MB
Iteration 45: Allocated: 646.38 MB, Reserved: 11242.00 MB
Iteration 46: Allocated: 594.23 MB, Reserved: 11242.00 MB
Iteration 47: Allocated: 644.26 MB, Reserved: 11242.00 MB
Iteration 48: Allocated: 609.99 MB, Reserved: 11242.00 MB
Iteration 49: Allocated: 566.99 MB, Reserved: 11242.00 MB
Iteration 50: Allocated: 570.92 MB, Reserved: 11242.00 MB
Iteration 51: Allocated: 606.95 MB, Reserved: 11242.00 MB
Iteration 52: Allocated: 652.38 MB, Reserved: 11242.00 MB
Iteration 53: Allocated: 629.65 MB, Reserved: 11242.00 MB
Iteration 54: Allocated: 552.57 MB, Reserved: 11242.00 MB
Iteration 55: Allocated: 556.82 MB, Reserved: 11242.00 MB
Iteration 56: Allocated: 633.30 MB, Reserved: 11244.00 MB
Iteration 57: Allocated: 583.60 MB, Reserved: 11244.00 MB
Iteration 58: Allocated: 614.41 MB, Reserved: 11244.00 MB
Iteration 59: Allocated: 636.45 MB, Reserved: 11244.00 MB
Iteration 60: Allocated: 586.67 MB, Reserved: 11244.00 MB
Iteration 61: Allocated: 611.12 MB, Reserved: 11244.00 MB
Iteration 62: Allocated: 642.71 MB, Reserved: 11244.00 MB
Iteration 63: Allocated: 557.09 MB, Reserved: 11244.00 MB
Iteration 64: Allocated: 577.79 MB, Reserved: 11244.00 MB
Iteration 65: Allocated: 552.60 MB, Reserved: 11244.00 MB
Iteration 66: Allocated: 477.52 MB, Reserved: 11244.00 MB
Iteration 67: Allocated: 604.15 MB, Reserved: 11244.00 MB
Iteration 68: Allocated: 555.14 MB, Reserved: 11244.00 MB
Iteration 69: Allocated: 630.57 MB, Reserved: 11244.00 MB
Iteration 70: Allocated: 637.44 MB, Reserved: 11244.00 MB
Iteration 71: Allocated: 601.28 MB, Reserved: 11244.00 MB
Iteration 72: Allocated: 588.50 MB, Reserved: 11244.00 MB
Iteration 73: Allocated: 649.03 MB, Reserved: 11244.00 MB
Iteration 74: Allocated: 578.82 MB, Reserved: 11244.00 MB
Iteration 75: Allocated: 659.49 MB, Reserved: 11244.00 MB
Iteration 76: Allocated: 605.60 MB, Reserved: 11244.00 MB
Iteration 77: Allocated: 584.99 MB, Reserved: 11244.00 MB
Iteration 78: Allocated: 630.59 MB, Reserved: 11244.00 MB
Iteration 79: Allocated: 594.88 MB, Reserved: 11244.00 MB
Iteration 80: Allocated: 626.48 MB, Reserved: 11244.00 MB
Iteration 81: Allocated: 603.49 MB, Reserved: 11244.00 MB
Iteration 82: Allocated: 632.21 MB, Reserved: 11244.00 MB
Iteration 83: Allocated: 641.12 MB, Reserved: 11244.00 MB
Iteration 84: Allocated: 630.62 MB, Reserved: 11244.00 MB
Iteration 85: Allocated: 568.50 MB, Reserved: 11244.00 MB
Iteration 86: Allocated: 599.96 MB, Reserved: 11244.00 MB
Iteration 87: Allocated: 590.29 MB, Reserved: 11244.00 MB
Iteration 88: Allocated: 651.88 MB, Reserved: 11244.00 MB
Iteration 89: Allocated: 641.82 MB, Reserved: 11244.00 MB
Iteration 90: Allocated: 659.23 MB, Reserved: 11244.00 MB
Iteration 91: Allocated: 618.99 MB, Reserved: 11244.00 MB
Iteration 92: Allocated: 654.81 MB, Reserved: 11244.00 MB
Iteration 93: Allocated: 654.44 MB, Reserved: 11244.00 MB
Iteration 94: Allocated: 601.02 MB, Reserved: 11244.00 MB
Iteration 95: Allocated: 566.42 MB, Reserved: 11244.00 MB
Iteration 96: Allocated: 610.15 MB, Reserved: 11244.00 MB
Iteration 97: Allocated: 612.06 MB, Reserved: 11244.00 MB
Iteration 98: Allocated: 591.87 MB, Reserved: 11244.00 MB
Iteration 99: Allocated: 656.26 MB, Reserved: 12024.00 MB
Iteration 100: Allocated: 643.80 MB, Reserved: 12024.00 MB
Iteration 101: Allocated: 627.83 MB, Reserved: 12024.00 MB
Iteration 102: Allocated: 645.40 MB, Reserved: 12024.00 MB
Iteration 103: Allocated: 630.23 MB, Reserved: 12024.00 MB
